parCodigo,parSiglas,parDenominacion,parColor,rowid
0076,DE LA CULTURA LA EDUCACIO,DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ,FFCCFF,20
0081,PARTIDO POPULAR          ,PARTIDO POPULAR                                                                                     ,07ad0b,21
0103,FRENTE DE IZQUIERDA Y LOS,FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ,dedede,22
0131,ALIANZA FRENTE PARA LA VI,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,538ed5,23
0132,ALIANZA PROGRESISTAS     ,ALIANZA PROGRESISTAS                                                                                ,f30d44,24
0133,ALIANZA COMPROMISO FEDERA,ALIANZA COMPROMISO FEDERAL                                                                          ,75d4d9,25
0134,MST - NUEVA IZQUIERDA    ,MST - NUEVA IZQUIERDA                                                                               ,e9897f,26
0135,ALIANZA CAMBIEMOS        ,ALIANZA CAMBIEMOS                                                                                   ,ffff00,27
0136,ALIANZA FRENTE POPULAR   ,ALIANZA FRENTE POPULAR                                                                              ,003366,28
0137,ALIANZA FRENTE DE IZQUIER,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,ff0000,29
0138,ALIANZA UNIDOS POR UNA NU,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,33364f,30
0144,MST-MOVIMIENTO SOCIALISTA,MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ,153315,31
0145,CAMBIEMOS BUENOS AIRES   ,CAMBIEMOS BUENOS AIRES                                                                              ,B81A34,32
0151,MOVIMIENTO POPULAR NEUQUI,MOVIMIENTO POPULAR NEUQUINO                                                                         ,F31515,33
